NUTS_ID,NUTS_NAME,CNTR_CODE,centroide,dominant_class,dominant_koppen,pct_Dfb,pct_Dfc,pct_ET,pct_Cfb,pct_BSk,pct_EF,pct_BSh,pct_Csa,pct_Csb,pct_Dsb,pct_Cfa,pct_Dsc,pct_BWk,pct_Dfa,pct_Af,pct_Am,pct_Aw,pct_Cwa,pct_Cwb,pct_Dsa,pct_Cfc,pct_BWh,pct_Csc
AL01,Veri,AL,2000,14,Cfa,0.2628403097330695,0.0452258627100967,0.0005290635590920544,0.14243932210343394,0.0,0.0,0.0,0.23303764088127832,0.018941876065110476,0.008491695898147314,0.28956243246085794,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
AL01,Veri,AL,2001,14,Cfa,0.2672761853953028,0.04750494765504874,0.005837828228181998,0.14259515337823817,0.004806639937370343,0.0021837100348458087,0.003187084292237093,0.24279914707777014,0.020404886800076162,0.011394697227545337,0.30704078398894447,0.003008056241720584,0.005144039422598641,0.0034138152421808285,0.0013488264556713722,0.0036561762332454235,0.005965424478283913,,,0.010665858576054593,0.00858764474285936,0.0025847501644246113,0.00754335901646733
AL01,Veri,AL,2002,14,Cfa,0.2649761830585675,0.05039120998786188,0.012274852000681995,0.1353685163988701,0.009336529219809278,0.0033344023622988326,0.007746624302450671,0.24726282274845346,0.02724051060657046,0.010135281712034334,0.3146363567180446,0.009860022096613897,0.004541537878660965,0.010172247943031006,0.007284515741712634,0.00642366300233143,0.007920768481756324,,,0.010194524554657238,0.012986174822530058,0.005705861902858055,0.009706237855581902
AL01,Veri,AL,2003,14,Cfa,0.2624980681063497,0.05389916269467187,0.011638662546142207,0.13113589782305815,0.009127815516214326,0.0031961455592219423,0.011092126564059526,0.2518694789089461,0.027160707539367803,0.012852050207920084,0.32598070415362795,0.011799116432660005,0.005988494601221684,0.015413757654569286,0.013287158109116674,0.010662956813453093,0.0072926468482860315,,,0.013787222203309609,0.010564554143246124,0.011008865727290134,0.006104340197593728
AL01,Veri,AL,2004,14,Cfa,0.25476184642357325,0.05562499217490041,0.013555843556722673,0.12544996986939355,0.004660572147900287,0.005380563205615747,0.01057762643087692,0.2620909045759475,0.03170089768769329,0.016960883653794497,0.3229640858836377,0.005343697973994352,0.007346982125016153,0.01528796761363063,0.015720491361869086,0.005825192304749531,0.0077032660450397725,,,0.012334351196097448,0.01133220472327092,0.008531210316538,0.009766774801319732
AL01,Veri,AL,2005,14,Cfa,0.2504733111690539,0.054331950774201276,0.014282996760571843,0.11652904844990164,0.007521919223881655,0.0038707848548183155,0.01546991494832442,0.26542050732365824,0.026584595520051546,0.012198423900798304,0.3278568123380249,0.007454566356613266,0.007271397635875092,0.010221072505033683,0.008452006667717647,0.008379609651662042,0.009270431882681677,,,0.010598849766487761,0.006475023753226452,0.008371346190529889,0.005286560554238366
AL01,Veri,AL,2006,14,Cfa,0.24042430207746848,0.054482240068307444,0.010228268352965078,0.10604486601369494,0.0,0.0,0.007227189927927356,0.2628127368360637,0.023073236508224744,0.010841244462527766,0.32947675237678054,0.0030215561636277146,0.0037733946472710616,0.00618952764267374,0.0022020353884232248,0.0015323736543453156,0.001055561509849351,,,0.003473201800554541,0.0032453688625792678,0.0051662036241071855,0.0
AL01,Veri,AL,2007,14,Cfa,0.2320232946052644,0.04942028803309378,0.006074023532821533,0.09225805224288047,0.0,0.0,0.003689278591527392,0.2627757782845095,0.019598851021459276,0.005610669837021676,0.33082508029442126,0.0,0.0013004405597412186,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
AL01,Veri,AL,2008,14,Cfa,0.22914008396863622,0.04445165961335278,0.0,0.07899084058466821,0.0,0.0,0.0002806260205686301,0.2668483190013381,0.015593944314009199,0.005831668351648831,0.3329358396360842,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
AL01,Veri,AL,2009,14,Cfa,0.21765904385788074,0.039911208677021054,0.0,0.06749630386620745,0.0,0.0,0.0,0.2698973465923387,0.014416071531586042,0.002263162048163705,0.3380679062363003,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
AL01,Veri,AL,2010,14,Cfa,0.2117754513611192,0.03157387005253675,0.0,0.0610288767865239,0.0,0.0,0.0,0.2803833188077951,0.021993114963143115,0.007449479621237056,0.3447804904725793,0.0,4.2616311490521405e-05,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
AL01,Veri,AL,2011,14,Cfa,0.21376159999238795,0.03404917102357706,0.0,0.0493351348483381,0.0,0.0,0.0,0.2946961154073955,0.019940963242077614,0.0016041793705864667,0.352954816962196,0.0,0.00013671898756536897,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
